magnit,rosneft,gazprom,vtb,sber,rostelekom,kamaz,spbe,surgutneftegaz,moex
7471203.0,119762614.0,1614694140.0,1395580000000.0,926.0,352.0,2492630.0,2408413.0,2506.0,205667980.0
9658278.0,220184395.0,2326513210.0,2092230000000.0,1545.0,219.0,2850090.0,1678326.0,1705.0,328612510.0
12823689.0,388186835.0,2515583630.0,2922070000000.0,1547.0,250.0,2510610.0,1947091.0,1975.0,375484140.0
1727893.0,47039396.0,333179180.0,519815000000.0,543.0,135.0,2276490.0,462096.0,734.0,30833010.0
3362181.0,66919882.0,644243080.0,2028080000000.0,1082.0,203.0,3569500.0,2793315.0,1154.0,67600850.0
1532850.0,46880461.0,673649490.0,431765000000.0,526.0,153.0,1388080.0,1740473.0,778.0,28435380.0
2215377.0,57485656.0,899752640.0,736877000000.0,752.0,291.0,1487070.0,4918570.0,1537.0,59846070.0
2436871.0,69190982.0,840519840.0,566718000000.0,492.0,121.0,2105100.0,10332481.0,1174.0,44804560.0
3857963.0,61196466.0,814147380.0,541534000000.0,642.0,116.0,7513460.0,146820498.0,1041.0,70497370.0
3677692.0,167363167.0,1537265390.0,1485760000000.0,9999.0,208.0,7689210.0,55642551.0,1701.0,123369710.0
3194426.0,147673587.0,807788870.0,1054200000000.0,4262.0,101.0,6251900.0,29466583.0,1021.0,91482030.0
2574687.0,88665932.0,296048210.0,704081000000.0,3679.0,94.0,1899270.0,12063072.0,1034.0,62871330.0
